"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Fraction","divide(fraction)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0]==(org.apache.commons.math3.fraction.Fraction.ZERO);","assert args[0].getNumerator() == 0 && args[0].getDenominator() == 1;","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"FieldRotation","FieldRotation(axis angle)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert args[0].getNorm().getReal()==0;","assert args[0].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"FieldRotation","FieldRotation(axis angle convention)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert args[0].getNorm().getReal()==0;","assert args[0].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"FieldRotation","FieldRotation(m threshold)","ConditionKind.THROWS","NotARotationMatrixException","ConditionKind.THROWS","NotARotationMatrixException","assert (args[0].length != 3) || (args[0][0].length != 3) || (args[0][1].length != 3) || (args[0][2].length != 3);","assert args[0].length != 3 || args[0][0].length != 3 || args[1] <= 0 || getMatrix().getDeterminant() < 0;","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got 0"
"FieldRotation","FieldRotation(u1 u2 v1 v2)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0].getNorm().getReal()==0 || args[1].getNorm().getReal()==0 || args[2].getNorm().getReal()==0;","assert args[0].getNorm() == 0 || args[1].getNorm() == 0 || args[2].getNorm() == 0 || args[3].getNorm() == 0 || args[0].isCollinear(args[1]) || args[2].isCollinear(args[3]);","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"FieldRotation","FieldRotation(u v)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0].getNorm().getReal()==0 || args[1].getNorm().getReal()==0;","assert args[0].getNorm() == 0 || args[1].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"Vector3D","orthogonal()","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert receiverObjectID.getNorm()==null;","assert receiverObjectID.getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"Vector3D","angle(v1 v2)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0].getNorm()==null || args[1].getNorm()==null;","assert args[0].getNorm() == 0 || args[1].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"RealVector","cosine(v)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert receiverObjectID.getNorm()==0 || args[0].getNorm()==0;","assert receiverObjectID.getEntry(0) == 0 && receiverObjectID.walkInOptimizedOrder(None, 0, receiverObjectID.getDimension()) == 0 || args[0].getEntry(0) == 0 && args[0].walkInOptimizedOrder(None, 0, args[0].getDimension()) == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"RealVector","unitVector()","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert receiverObjectID.getNorm()==0;","assert receiverObjectID.dotProduct(receiverObjectID) == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"RealVector","unitize()","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert receiverObjectID.getNorm()==0;","assert receiverObjectID.dotProduct(receiverObjectID) == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"ContinuousOutputModel","handleStep(interpolator isLast)","ConditionKind.PARAM","isLast","ConditionKind.PARAM","isLast","assert args[1]==true;","assert (args[1]==null) == false;","AssertionRelation.UNSUPPORTED","Variable 'args[1]' used as both Type.BOOL and Type.REF"
"AdaptiveStepsizeIntegrator","setInitialStepSize(initialStepSize)","ConditionKind.PARAM","initialStepSize","ConditionKind.PARAM","initialStepSize","assert args[0]>0;","assert args[0] > 0 && (args[0] >= receiverObjectID.getMinStep() && args[0] <= receiverObjectID.getMaxStep());","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"Primes","nextPrime(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID>=args[0];","assert methodResultID >= args[0] && receiverObjectID.isPrime(methodResultID);","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.REF"
"Sum","evaluate(values begin length)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[2]==0 ? methodResultID==0;","assert methodResultID == (args[2] == 0 ? 0 : java.util.Arrays.stream(java.util.Arrays.copyOfRange(args[0], args[1], args[1] + args[2])).sum());","AssertionRelation.UNSUPPORTED","Both branches of ?: must have same type"
"ArithmeticUtils","pow(k e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","assert args[1]>0||args[1]==0;","assert args[1].compareTo(BigInteger.ZERO) >= 0;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"ArithmeticUtils","pow(k e)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[1]<0;","assert ((BigInteger)args[1]).compareTo(BigInteger.ZERO) < 0;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"Player","isDead()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getDead()?methodResultID==true:methodResultID==false;","assert methodResultID == !receiverObjectID.isUndead();","AssertionRelation.UNSUPPORTED","Expected Type.BOOL, got Type.REF"
"Player","owns(ownable)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.equals(args[0].getOwner()) ? methodResultID==true : methodResultID==false;","assert methodResultID == receiverObjectID.owns(args[0]);","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.BOOL and Type.REF"
"UnitLocation","getUnitCapacity()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==Integer.MAX_VALUE;","assert methodResultID == Integer.MAX_VALUE;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.REF"
"Unit","isCarrier()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert (receiverObjectID.canCarryGoods() || receiverObjectID.canCarryUnits()) ? methodResultID==true:methodResultID==false;","assert methodResultID == receiverObjectID.canCarryGoods();","AssertionRelation.UNSUPPORTED","b'Sort mismatch at argument #1 for function (declare-fun or (Bool Bool) Bool) supplied sort is Ref'"
"Unit","getTreasureAmount()","ConditionKind.THROWS","IllegalStateException","ConditionKind.THROWS","IllegalStateException","assert (receiverObjectID.canCarryTreasure()) == false;","assert !receiverObjectID.canCarryGoods();","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"Unit","hasHighSeasMove()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.canMoveToHighSeas() ? methodResultID==true:methodResultID==false;","assert methodResultID == (receiverObjectID.shouldTakeTransportTo(null) || receiverObjectID.getRole().equals(""HighSeas""));","AssertionRelation.UNSUPPORTED","Expected Type.BOOL, got Type.REF"
"Unit","hasSpaceLeft()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getSpaceLeft() > 0 ? methodResultID == true : methodResultID == false;","assert methodResultID;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"Unit","hasGoodsCargo()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getGoodsSpaceTaken() > 0 ? methodResultID == true : methodResultID == false;","assert methodResultID == receiverObjectID.canCarryGoods();","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"Unit","hasCargo()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getCargoSpaceTaken() > 0 ? methodResultID == true : methodResultID == false;","assert methodResultID == receiverObjectID.canCarryGoods();","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"Unit","canCashInTreasureTrain()","ConditionKind.THROWS","IllegalStateException","ConditionKind.THROWS","IllegalStateException","assert (receiverObjectID.canCarryTreasure()) == false;","assert !receiverObjectID.getRole().equals(""treasure_train"");","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"Unit","canCashInTreasureTrain(loc)","ConditionKind.THROWS","IllegalStateException","ConditionKind.THROWS","IllegalStateException","assert (receiverObjectID.canCarryTreasure())==false;","assert !receiverObjectID.getRole().equals(""treasure_train"");","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"GraphMetrics","getDiagonal()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID == receiverObjectID.diagonal;","assert methodResultID >= 0;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.REF"
"GraphMetrics","getSize()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.size);","assert methodResultID.equals(receiverObjectID.getSize());","AssertionRelation.UNSUPPORTED","sort mismatch"
"Environment","getParameter(parameter)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert !receiverObjectID.hasParameter(args[0]) ? methodResultID.equals("""");","assert methodResultID.equals(receiverObjectID.getParameter(args[0])) || (methodResultID.isEmpty() && !receiverObjectID.hasParameter(args[0]));","AssertionRelation.UNSUPPORTED","list index out of range"
"CharMatcher","indexIn(sequence start)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","assert (args[0]<0) == false && args[1]!=null && (args[0]>args[1].length()) == false;","assert args[1] >= 0 && args[1] <= ((CharSequence)args[0]).length();","AssertionRelation.UNSUPPORTED","Variable 'args[1]' used as both Type.REF and Type.INT"
"MoreObjects","firstNonNull(first second)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0] != null ? methodResultID == args[0] ; args[0] == null && args[1] != null ? methodResultID == args[1];","assert (methodResultID == args[0] && args[0] != null) || (methodResultID == args[1] && args[0] == null);","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: args[0]"
"Strings","nullToEmpty(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]!=null ? methodResultID.equals(args[0]) : methodResultID.equals("""") ;","assert (methodResultID == args[0]) || (args[0] == null && methodResultID.equals(""""));","AssertionRelation.UNSUPPORTED","list index out of range"
"Strings","repeat(string count)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[1]==0 ? methodResultID.equals("""");","assert methodResultID.equals(new String(new char[args[1]]).replace(""\0"", args[0]));","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got String"
"ConcurrentHashMultiset","add(element occurrences)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1] < 0 || count(args[0]) + args[1] > Integer.MAX_VALUE;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"MathMDE","bitwiseAnd(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==(args[0]&args[1]);","assert methodResultID == (args[0] & args[1]);","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","bitwiseAnd(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==(args[0]&args[1]);","assert methodResultID == (args[0] & args[1]);","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","logicalAnd(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert  true ? (methodResultID==0 || methodResultID==1);","assert methodResultID == (args[0] != 0 && args[1] != 0) ? 1 : 0;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.BOOL"
"MathMDE","logicalAnd(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert  true ? (methodResultID==0 || methodResultID==1);","assert methodResultID == (args[0] != 0 && args[1] != 0) ? 1 : 0;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.BOOL"
"MathMDE","bitwiseXor(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==(args[0]^args[1]);","assert methodResultID == (args[0] ^ args[1]);","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","bitwiseXor(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==(args[0]^args[1]);","assert methodResultID == (args[0] ^ args[1]);","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","logicalXor(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert  true ? (methodResultID==0 || methodResultID==1);","assert methodResultID == (args[0] != args[1]) ? 1 : 0;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.BOOL"
"MathMDE","logicalXor(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert  true ? (methodResultID==0 || methodResultID==1);","assert methodResultID == (args[0] ^ args[1]) & 1;","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","bitwiseOr(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==(args[0]|args[1]);","assert methodResultID == (args[0] | args[1]);","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","bitwiseOr(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==(args[0]|args[1]);","assert methodResultID == (args[0] | args[1]);","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","logicalOr(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert  true ? (methodResultID==0 || methodResultID==1);","assert methodResultID == (args[0] | args[1]) != 0 ? 1 : 0;","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","logicalOr(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert  true ? (methodResultID==0 || methodResultID==1);","assert methodResultID == (args[0] | args[1]) != 0 ? 1 : 0;","AssertionRelation.UNSUPPORTED","Error during parsing: Expected ), got args[1]"
"MathMDE","mod_positive(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]%args[1];","assert (methodResultID == args[0] % args[1]) && (0 <= methodResultID) && (methodResultID < Math.abs(args[1]));","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"MathMDE","mod_positive(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]%args[1];","assert (methodResultID == args[0] % args[1]) && (0 <= methodResultID) && (methodResultID < Math.abs(args[1]));","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"MathMDE","missing_numbers(nums)","ConditionKind.PARAM","nums","ConditionKind.PARAM","nums","assert args[0]>0;","assert args[0].length > 0;","AssertionRelation.UNSUPPORTED","Variable 'args[0]' used as both Type.INT and Type.REF"
"MathMDE","missing_numbers(nums)","ConditionKind.PARAM","nums","ConditionKind.PARAM","nums","assert args[0]>0;","assert args[0].length > 0;","AssertionRelation.UNSUPPORTED","Variable 'args[0]' used as both Type.INT and Type.REF"
"ArrayStack","peek()","ConditionKind.THROWS","EmptyStackException","ConditionKind.THROWS","EmptyStackException","assert receiverObjectID.isEmpty();","assert receiverObjectID.empty();","AssertionRelation.INCOMPARABLE",""
"ArrayStack","peek()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.peek());","assert methodResultID != null && !receiverObjectID.empty();","AssertionRelation.INCOMPARABLE",""
"ArrayStack","pop()","ConditionKind.THROWS","EmptyStackException","ConditionKind.THROWS","EmptyStackException","assert receiverObjectID.isEmpty();","assert receiverObjectID.empty();","AssertionRelation.INCOMPARABLE",""
"BagUtils","emptyBag()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.EMPTY_BAG);","assert methodResultID.isEmpty();","AssertionRelation.INCOMPARABLE",""
"BagUtils","emptySortedBag()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.EMPTY_SORTED_BAG);","assert methodResultID.isEmpty();","AssertionRelation.INCOMPARABLE",""
"CollectionUtils","emptyCollection()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);","assert methodResultID.isEmpty(receiverObjectID.emptyCollection());","AssertionRelation.INCOMPARABLE",""
"CollectionUtils","collect(inputCollection transformer outputCollection)","ConditionKind.PARAM","outputCollection","ConditionKind.PARAM","outputCollection","assert (args[0]==null) == false && (args[1]==null) == false || (args[2]==null) == false;","assert (args[0] == null || args[1] == null) || args[2] != null;","AssertionRelation.INCOMPARABLE",""
"CollectionUtils","collect(inputIterator transformer outputCollection)","ConditionKind.PARAM","outputCollection","ConditionKind.PARAM","outputCollection","assert (args[0]==null) == false && (args[1]==null) == false || (args[2]==null) == false;","assert (args[0] == null || args[1] == null) || args[2] != null;","AssertionRelation.INCOMPARABLE",""
"CollectionUtils","get(map index)","ConditionKind.THROWS","IndexOutOfBoundsException","ConditionKind.THROWS","IndexOutOfBoundsException","assert map.entrySet().size()<args[1] || args[1]<0;","assert args[1] < 0 || args[1] >= ((java.util.Set)args[0].entrySet()).size();","AssertionRelation.INCOMPARABLE",""
"CollectionUtils","size(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null ? methodResultID == 0;","assert methodResultID >= 0;","AssertionRelation.INCOMPARABLE",""
"FluentIterable","of(singleton)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.contains(args[0])==true;","assert methodResultID != null && methodResultID.isEmpty() == false;","AssertionRelation.INCOMPARABLE",""
"FluentIterable","zip(others)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert Arrays.asList(others).contains(null);","assert args[0]==null;","AssertionRelation.INCOMPARABLE",""
"QueueUtils","emptyQueue()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID.equals(receiverObjectID.EMPTY_QUEUE);","assert methodResultID.isEmpty();","AssertionRelation.INCOMPARABLE",""
"FixedOrderComparator","getUnknownObjectBehavior()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(org.apache.commons.collections4.comparators.FixedOrderComparator.UnknownObjectBehavior);","assert methodResultID instanceof UnknownObjectBehavior;","AssertionRelation.INCOMPARABLE",""
"LRUMap","LRUMap(map)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert (args[0]==null)==false&&args[0].isEmpty();","assert args[0].size() == 0;","AssertionRelation.INCOMPARABLE",""
"LRUMap","LRUMap(map scanUntilRemovable)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert (args[0]==null)==false&&args[0].isEmpty();","assert args[0].size() == 0;","AssertionRelation.INCOMPARABLE",""
"FunctionUtils","sample(f min max n)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[1]<=args[2];","assert args[1] >= args[2];","AssertionRelation.INCOMPARABLE",""
"CycleCrossover","crossover(first second)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert (args[0].getLength() == args[1].getLength()) == false;","assert args[0].length != args[1].length;","AssertionRelation.INCOMPARABLE",""
"CycleCrossover","mate(first second)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert (args[0].getLength() == args[1].getLength()) == false;","assert args[0].size() != args[1].size();","AssertionRelation.INCOMPARABLE",""
"SummaryStatistics","copy()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID.equals(receiverObjectID);","assert methodResultID != null && methodResultID.getClass().equals(receiverObjectID.getClass());","AssertionRelation.INCOMPARABLE",""
"Feature","appliesTo(turn)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null ? methodResultID == true : methodResultID==false;","assert methodResultID == (args[0] == null || !receiverObjectID.isOutOfDate(args[0]));","AssertionRelation.INCOMPARABLE",""
"Player","getEuropeNameKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getEurope()==null ? methodResultID==null;","assert (methodResultID == null) == (receiverObjectID.getEuropeNameKey() == null);","AssertionRelation.INCOMPARABLE",""
"Player","getDead()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.isDead()?methodResultID==true:methodResultID==false;","assert methodResultID == receiverObjectID.isUndead();","AssertionRelation.INCOMPARABLE",""
"Player","canMoveToEurope()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getEurope() != null ? methodResultID==true;","assert methodResultID == receiverObjectID.isEuropean();","AssertionRelation.INCOMPARABLE",""
"Player","hasExplored(tile)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0].isExplored() ? methodResultID==true:methodResultID==false;","assert methodResultID == receiverObjectID.hasExplored(args[0]);","AssertionRelation.INCOMPARABLE",""
"Unit","getCarrier()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert !receiverObjectID.isOnCarrier() ? methodResultID==null;","assert (methodResultID == null) || receiverObjectID.equals(methodResultID.getUnitTypeTeaching(null, methodResultID));","AssertionRelation.INCOMPARABLE",""
"Path","contains(node)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getNodePath().contains(args[0]) ? methodResultID==true;","assert methodResultID == receiverObjectID.contains(args[0]);","AssertionRelation.INCOMPARABLE",""
"Path","contains(edge)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getEdgePath().contains(args[0]) ? methodResultID==true;","assert methodResultID == receiverObjectID.contains(args[0]);","AssertionRelation.INCOMPARABLE",""
"GraphicElement","getStyle()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.style);","assert methodResultID == receiverObjectID.getStyle();","AssertionRelation.INCOMPARABLE",""
"Environment","getGlobalEnvironment()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==receiverObjectID.GLOBAL_ENV;","assert methodResultID == receiverObjectID.getGlobalEnvironment();","AssertionRelation.INCOMPARABLE",""
"Environment","lockEnvironment(on)","ConditionKind.PARAM","on","ConditionKind.PARAM","on","assert receiverObjectID.isLocked();","assert args[0] == true;","AssertionRelation.INCOMPARABLE",""
"Verify","verifyNotNull(reference)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID!=null;","assert methodResultID == args[0];","AssertionRelation.INCOMPARABLE",""
"Verify","verifyNotNull(reference errorMessageTemplate errorMessageArgs)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID!=null;","assert methodResultID == args[0];","AssertionRelation.INCOMPARABLE",""
"CacheLoader","from(supplier)","ConditionKind.PARAM","supplier","ConditionKind.PARAM","supplier","assert (args[0]==null)==false;","assert (args[0].get() == null) == false;","AssertionRelation.INCOMPARABLE",""
"Doubles","min(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0) == false;","assert (args[0].length > 0);","AssertionRelation.INCOMPARABLE",""
"Doubles","max(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0) == false;","assert (args[0].length > 0);","AssertionRelation.INCOMPARABLE",""
"Floats","min(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0)==false;","assert args[0].length > 0;","AssertionRelation.INCOMPARABLE",""
